Vacant −− > Census year: 2018 || Block ID: 24 || Property ID: 102089 || Base property ID: 102089 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.963272 || Y coordinate: -37.817059 || Location: (-37.81705701, 144.9632686) || 
Vacant −− > Census year: 2018 || Block ID: 24 || Property ID: 102089 || Base property ID: 102089 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.963272 || Y coordinate: -37.817059 || Location: (-37.81705701, 144.9632686) || 
Vacant −− > Census year: 2018 || Block ID: 24 || Property ID: 102093 || Base property ID: 102093 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.962006 || Y coordinate: -37.817162 || Location: (-37.81715744, 144.962001) || 
Vacant −− > Census year: 2018 || Block ID: 35 || Property ID: 102145 || Base property ID: 102145 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.965408 || Y coordinate: -37.815479 || Location: (-37.81548376, 144.9654066) || 
Vacant −− > Census year: 2018 || Block ID: 35 || Property ID: 103320 || Base property ID: 103320 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.964020 || Y coordinate: -37.815441 || Location: (-37.81544356, 144.9640202) || 
Vacant −− > Census year: 2018 || Block ID: 35 || Property ID: 109271 || Base property ID: 109271 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.965805 || Y coordinate: -37.814720 || Location: (-37.81472249, 144.9658025) || 
Vacant −− > Census year: 2018 || Block ID: 46 || Property ID: 105964 || Base property ID: 105964 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.967575 || Y coordinate: -37.813911 || Location: (-37.81390784, 144.9675812) || 
Vacant −− > Census year: 2018 || Block ID: 35 || Property ID: 102141 || Base property ID: 102141 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.964371 || Y coordinate: -37.815529 || Location: (-37.8155277, 144.9643732) || 
Vacant −− > Census year: 2018 || Block ID: 15 || Property ID: 103328 || Base property ID: 103328 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.965088 || Y coordinate: -37.817650 || Location: (-37.81764679, 144.9650858) || 
Vacant −− > Census year: 2018 || Block ID: 15 || Property ID: 109263 || Base property ID: 109263 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.966705 || Y coordinate: -37.816738 || Location: (-37.81674246, 144.966704) || 
Vacant −− > Census year: 2018 || Block ID: 15 || Property ID: 109263 || Base property ID: 109263 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.966705 || Y coordinate: -37.816738 || Location: (-37.81674246, 144.966704) || 
Vacant −− > Census year: 2018 || Block ID: 15 || Property ID: 109263 || Base property ID: 109263 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.966705 || Y coordinate: -37.816738 || Location: (-37.81674246, 144.966704) || 
Vacant −− > Census year: 2018 || Block ID: 44 || Property ID: 106375 || Base property ID: 106375 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.961899 || Y coordinate: -37.815331 || Location: (-37.81533114, 144.9619028) || 
Vacant −− > Census year: 2018 || Block ID: 44 || Property ID: 108111 || Base property ID: 108111 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.961304 || Y coordinate: -37.815651 || Location: (-37.81565407, 144.9612981) || 
Vacant −− > Census year: 2018 || Block ID: 35 || Property ID: 103322 || Base property ID: 103322 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.964172 || Y coordinate: -37.815731 || Location: (-37.8157323, 144.9641735) || 
Vacant −− > Census year: 2018 || Block ID: 44 || Property ID: 108110 || Base property ID: 108110 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.961182 || Y coordinate: -37.815380 || Location: (-37.81537944, 144.9611759) || 
Vacant −− > Census year: 2018 || Block ID: 45 || Property ID: 105961 || Base property ID: 105961 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.964355 || Y coordinate: -37.814739 || Location: (-37.81473585, 144.9643479) || 
Vacant −− > Census year: 2018 || Block ID: 54 || Property ID: 105849 || Base property ID: 105849 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.961456 || Y coordinate: -37.813782 || Location: (-37.81377592, 144.9614628) || 
Vacant −− > Census year: 2018 || Block ID: 54 || Property ID: 108106 || Base property ID: 108106 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.960770 || Y coordinate: -37.814289 || Location: (-37.81429358, 144.9607704) || 
